Metric,Value
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.000134951
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000931032
design_powergrid__voltage__worst,0.000931032
design_powergrid__voltage__worst__net:vccd1,1.79899
design_powergrid__drop__worst,0.00100782
design_powergrid__drop__worst__net:vccd1,0.00100782
design_powergrid__voltage__worst__net:vssd1,0.000931032
design_powergrid__drop__worst__net:vssd1,0.000931032
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000137999999999999993331722958345153529080562293529510498046875
ir__drop__worst,0.0010100000000000000470457006684910084004513919353485107421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
